# V, V_err
-5.303116603376047955e-01 2.460009304094029669e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.298530877159111085e-01 2.539460188161219573e-04
-5.297511826888683384e-01 2.545586759642215523e-04
-5.296492776618251241e-01 2.547625676076136999e-04
-5.294964201212606358e-01 2.543035815259971641e-04
-5.296492776618252352e-01 2.547625676076137541e-04
-5.294454676077389177e-01 2.539460188161219573e-04
-5.297511826888681163e-01 2.545586759642214981e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.297002301753466202e-01 2.547116099978215362e-04
-5.300568977699972040e-01 2.514804651024825670e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.295983251483036280e-01 2.547116099978215362e-04
-5.299549927429541007e-01 2.529216256980133934e-04
-5.297511826888681163e-01 2.545586759642215523e-04
-5.294964201212606358e-01 2.543035815259971641e-04
-5.298530877159112196e-01 2.539460188161220115e-04
-5.295473726347819099e-01 2.545586759642214981e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.297511826888680053e-01 2.545586759642214981e-04
-5.297511826888683384e-01 2.545586759642215523e-04
-5.294964201212606358e-01 2.543035815259971641e-04
-5.295473726347819099e-01 2.545586759642215523e-04
-5.298021352023896124e-01 2.543035815259971641e-04
-5.299549927429544338e-01 2.529216256980135018e-04
-5.300059452564758189e-01 2.522535393672110764e-04
-5.301588027970401962e-01 2.496153184799823101e-04
-5.299549927429544338e-01 2.529216256980135018e-04
-5.296492776618252352e-01 2.547625676076137541e-04
-5.300568977699972040e-01 2.514804651024825670e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.297511826888683384e-01 2.545586759642214981e-04
-5.293435625806958145e-01 2.529216256980135018e-04
-5.294964201212606358e-01 2.543035815259971641e-04
-5.296492776618252352e-01 2.547625676076137541e-04
-5.295983251483035170e-01 2.547116099978215362e-04
-5.297511826888681163e-01 2.545586759642215523e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.298530877159113306e-01 2.539460188161220115e-04
-5.297511826888680053e-01 2.545586759642214981e-04
-5.298530877159112196e-01 2.539460188161220657e-04
-5.300059452564758189e-01 2.522535393672110764e-04
-5.300059452564757079e-01 2.522535393672109679e-04
-5.299040402294327157e-01 2.534855542146015285e-04
-5.301078502835189221e-01 2.506014312815343925e-04
-5.301078502835188111e-01 2.506014312815343925e-04
-5.295983251483035170e-01 2.547116099978215904e-04
-5.293945150942175326e-01 2.534855542146015827e-04
-5.295473726347821319e-01 2.545586759642215523e-04
-5.294964201212605248e-01 2.543035815259971641e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.295473726347822430e-01 2.545586759642214981e-04
-5.294964201212605248e-01 2.543035815259971641e-04
-5.297511826888683384e-01 2.545586759642214981e-04
-5.298530877159113306e-01 2.539460188161219573e-04
-5.297511826888680053e-01 2.545586759642214981e-04
-5.299549927429542118e-01 2.529216256980133934e-04
-5.299040402294328267e-01 2.534855542146015827e-04
-5.301588027970405292e-01 2.496153184799822559e-04
-5.297511826888680053e-01 2.545586759642214981e-04
-5.294964201212605248e-01 2.543035815259971641e-04
-5.292926100671745404e-01 2.522535393672109679e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.295473726347822430e-01 2.545586759642214981e-04
-5.294964201212606358e-01 2.543035815259971641e-04
-5.295473726347819099e-01 2.545586759642215523e-04
-5.297002301753466202e-01 2.547116099978215362e-04
-5.295983251483036280e-01 2.547116099978215362e-04
-5.295983251483035170e-01 2.547116099978215904e-04
-5.297511826888680053e-01 2.545586759642214981e-04
-5.298530877159113306e-01 2.539460188161220115e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.299040402294327157e-01 2.534855542146015827e-04
-5.300059452564758189e-01 2.522535393672110222e-04
-5.302097553105619143e-01 2.485208520560984870e-04
-5.297002301753466202e-01 2.547116099978215362e-04
-5.293435625806960365e-01 2.529216256980133934e-04
-5.295983251483036280e-01 2.547116099978215362e-04
-5.294964201212605248e-01 2.543035815259971641e-04
-5.292926100671744294e-01 2.522535393672110764e-04
-5.299549927429544338e-01 2.529216256980135018e-04
-5.295983251483036280e-01 2.547116099978215362e-04
-5.298021352023896124e-01 2.543035815259971641e-04
-5.296492776618251241e-01 2.547625676076136999e-04
-5.296492776618251241e-01 2.647570265778528332e-04
-5.300568977699973150e-01 2.514804651024825670e-04
-5.299549927429542118e-01 2.529216256980133934e-04
-5.298021352023897235e-01 2.543035815259971641e-04
-5.296492776618250131e-01 2.547625676076137541e-04
-5.298021352023896124e-01 2.543035815259971641e-04
-5.293945150942175326e-01 2.534855542146015285e-04
-5.294964201212606358e-01 2.543035815259971641e-04
-5.293945150942174216e-01 2.534855542146015827e-04
-5.292416575536528223e-01 2.514804651024825670e-04
-5.295473726347822430e-01 2.545586759642214981e-04
-5.294454676077390287e-01 2.539460188161220657e-04
-5.295983251483035170e-01 2.547116099978215904e-04
-5.297002301753467313e-01 2.547116099978215362e-04
-5.298021352023896124e-01 2.543035815259971641e-04
-5.301588027970403072e-01 2.496153184799823101e-04
